,CenterLatitude,CenterLongitude
0,57.70415,11.94025
1,57.70425,11.94025
2,57.71235,11.69525
3,57.71325,11.69175
4,57.65665,11.82825
5,55.08835,8.56625
6,57.65785,11.82825
7,57.66015,11.83175
8,55.08825,8.56625
9,57.66285,11.83875
10,57.70975,11.69875
11,57.70985,11.69875
12,57.71025,11.69875
13,57.71055,11.69875
14,57.67955,11.84925
15,57.67885,11.84925
16,56.98015,8.91975
17,54.54395,11.25075
18,57.67815,11.84925
19,56.98055,8.91975
20,57.67735,11.84575
21,57.70925,11.69875
22,55.08805,8.56625
23,57.65895,11.83175
24,57.65945,11.83175
25,55.76995,10.83425
26,55.76975,10.83075
27,55.77005,10.82725
28,55.77015,10.82725
29,55.77065,10.82375
30,55.77105,10.82375
31,55.77125,10.82375
32,55.77165,10.82025
33,55.77255,10.82025
34,55.77305,10.81675
35,55.77335,10.81675
36,55.77395,10.81325
37,55.77415,10.80975
38,55.77375,10.80975
39,55.77265,10.80975
40,55.77185,10.80975
41,55.77095,10.80975
42,55.76955,10.81325
43,56.02955,12.66125
44,55.76805,10.81325
45,54.73075,8.68875
46,55.76725,10.81675
47,55.76645,10.81675
48,55.76565,10.81675
49,54.52875,11.25075
50,54.61595,11.31375
51,54.49015,10.27775
52,54.61765,11.31375
53,54.49005,10.27775
54,55.61865,7.60025
55,54.61965,11.31375
56,54.52815,11.25075
57,55.08655,8.56975
58,56.98045,8.91975
59,55.61855,7.60025
60,54.62135,11.31725
61,54.62205,11.31725
62,56.03305,12.61575
63,54.52775,11.25425
64,54.48975,10.27775
65,56.97935,8.91975
66,54.52755,11.25425
67,54.62345,11.31725
68,56.97865,8.92325
69,56.97835,8.92325
70,56.53015,11.18425
71,56.97635,8.92325
72,54.52685,11.25425
73,56.53015,11.18775
74,54.73115,8.68875
75,55.08705,8.56975
76,54.73095,8.68525
77,54.73065,8.68525
78,54.63015,11.32425
79,54.52625,11.25775
80,56.02765,12.67525
81,56.02855,12.67525
82,57.70195,11.67775
83,57.70815,11.70225
84,57.70165,11.67775
85,56.03075,12.67525
86,57.70135,11.67425
87,57.70105,11.67425
88,57.70085,11.67425
89,56.03235,12.67175
90,57.70055,11.67425
91,54.34495,9.92075
92,57.70025,11.67075
93,54.36075,9.86475
94,57.70005,11.67075
95,54.34515,9.91725
96,56.03385,12.67175
97,54.36065,9.86475
98,54.34525,9.91725
99,57.69965,11.67075
100,54.36065,9.86825
101,54.34535,9.91725
102,57.69945,11.67075
103,54.36055,9.86825
104,54.34555,9.91725
105,56.03545,12.67175
106,57.69925,11.67075
107,54.36045,9.86825
108,54.34565,9.91725
109,57.69905,11.67075
110,54.34575,9.91375
111,57.69895,11.66725
112,54.36035,9.86825
113,57.69875,11.66725
114,54.34595,9.91375
115,56.03705,12.67175
116,54.36025,9.86825
117,54.34605,9.91375
118,54.36015,9.86825
119,54.34615,9.91375
120,54.36005,9.86825
121,54.34635,9.91375
122,57.69865,11.66725
123,54.35995,9.86825
124,54.34645,9.91375
125,56.03915,12.67175
126,54.35985,9.87175
127,57.70805,11.70225
128,54.35975,9.87175
129,54.34685,9.91025
130,57.70795,11.70225
131,57.70785,11.70225
132,54.35965,9.87175
133,54.34715,9.91025
134,57.70775,11.70225
135,56.04125,12.66825
136,54.35955,9.87175
137,57.70765,11.69875
138,56.04185,12.66825
139,54.35945,9.87175
140,57.70755,11.69875
141,56.04235,12.66825
142,54.35935,9.87175
143,57.70725,11.69875
144,54.35925,9.87175
145,54.34795,9.90675
146,57.70705,11.69875
147,54.34815,9.90675
148,57.70675,11.69525
149,54.35915,9.87175
150,57.70655,11.69525
151,56.04425,12.66825
152,54.35905,9.87175
153,54.34855,9.90675
154,57.70635,11.69525
155,56.04485,12.66825
156,54.35895,9.87175
157,57.70615,11.69525
158,54.35885,9.87175
159,57.70585,11.69525
160,57.70545,11.69175
161,56.04615,12.66825
162,54.35875,9.87525
163,57.70515,11.69175
164,57.70485,11.69175
165,56.04715,12.66475
166,54.35855,9.87525
167,57.70455,11.69175
168,57.70425,11.68825
169,56.04785,12.66475
170,54.35845,9.87525
171,57.70385,11.68825
172,54.34995,9.89975
173,56.04895,12.66475
174,57.70365,11.68825
175,57.70335,11.68475
176,54.35815,9.87525
177,56.04955,12.66475
178,54.35035,9.89975
179,57.70315,11.68475
180,56.05035,12.66125
181,57.70295,11.68475
182,54.35805,9.87525
183,57.70285,11.68475
184,54.35065,9.89975
185,54.35795,9.87525
186,57.70265,11.68125
187,57.70255,11.68125
188,57.70235,11.68125
189,56.05215,12.66125
190,54.35765,9.87525
191,57.70225,11.68125
192,57.70215,11.67775
193,56.09405,4.19475
194,58.11195,11.37675
195,54.35755,9.87875
196,58.11205,11.37675
197,54.35745,9.87875
198,54.35195,9.89625
199,56.05395,12.65775
200,57.59995,9.95575
201,57.70145,11.67425
202,55.96685,11.02325
203,56.05465,12.65775
204,56.09425,4.19825
205,54.35715,9.87875
206,55.08225,8.57325
207,57.70125,11.67425
208,56.05515,12.65775
209,57.43795,10.55425
210,57.70095,11.67425
211,55.08335,8.57325
212,55.96745,11.02325
213,57.43805,10.55425
214,57.70075,11.67425
215,57.70075,11.67075
216,56.05615,12.65425
217,57.59915,9.95575
218,54.35695,9.87875
219,54.36765,10.17275
220,55.08535,8.57325
221,54.35315,9.89275
222,57.70035,11.67075
223,54.55005,11.67775
224,56.05675,12.65425
225,55.08615,8.57325
226,55.96875,11.02325
227,56.05715,12.65425
228,55.08655,8.57325
229,57.69985,11.67075
230,54.35665,9.87875
231,54.35385,9.88925
232,57.69955,11.67075
233,56.05775,12.65075
234,54.15595,12.09425
235,54.35655,9.87875
236,55.96965,11.02325
237,57.62585,11.81075
238,57.69935,11.66725
239,57.69925,11.66725
240,54.35415,9.88925
241,54.56245,11.60075
242,54.35645,9.87875
243,54.55085,11.68125
244,55.08745,8.56975
245,57.62545,11.81075
246,55.97055,11.02675
247,54.35495,9.88575
248,54.35625,9.88225
249,56.05785,12.64725
250,55.08765,8.56625
251,54.35615,9.88225
252,54.36775,10.17275
253,54.56265,11.60075
254,55.97145,11.02675
255,54.35565,9.88575
256,54.49895,10.29525
257,54.35575,9.88575
258,54.35595,9.88225
